;link.law;actor;date;link.statement
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Haus & Grund Deutschland;09. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07092019_Stellungnahme_HuG_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Verband Insolvenzverwalter Deutschlands;08. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07082019_Stellungnahme_VID_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=3"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Bundesverband Deutscher Zeitungsverleger;05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07052019_Stellungnahme_BDZV_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Bundesverband der Deutschen Industrie;05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07052019_Stellungnahme_BDI_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Deutscher Anwaltverein;05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07052019_Stellungnahme_DAV_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Deutscher Richterbund;05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07052019_Stellungnahme_DRB_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Bund Deutscher Rechtspfleger;05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07052019_Stellungnahme_BDR_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Bundesrechtsanwaltskammer;05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07082019_Stellungnahme_BRAK_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Zentralverband des Deutschen Handwerks (ZDH);05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07052019_Stellungnahme_ZDH_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Bundesarchitektenkammer e.V.;04. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07042019_Stellungnahme_BundesarchitektenK_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Deutsches Institut für angewandtes Insolvenzrecht e.V.;04. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07042019_Stellungnahme_DIAI_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=3"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297";Gravenbrucher Kreis;03. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07032019_Stellungnahme_Gravenbruch_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=4EB77B32B541906A2C2F34D53E6F1E04.2_cid297?__blob=publicationFile&v=2"
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;Bundesverband öffentlich bestellter und vereidigter sowie qualifizierter Sachverständiger e.V.;02. Jul 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07022019_Stellungnahme_BVS_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf?__blob=publicationFile&v=2
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;EDV-Gerichtstag e.V.;28. Jun 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/06282019_Stellungnahme_EDV_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf?__blob=publicationFile&v=2
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;Deutscher Industrie- und Handelskammertag;27. Jun 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/06272019_Stellungnahme_DIHK_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf?__blob=publicationFile&v=2
Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;Bundesarbeitskreis Insolvenzgerichte e.V. (BAKinso);17. Jun 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/06172019_Stellungnahme_Bakinso_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Deutscher Richterbund - Bund der Richterinnen und Richter, Staatsanwältinnen und Staatsanwälte;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05312019_Stellungnahme_DRB_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Deutsche Kinderhilfe - Die ständige Kindervertretung e.V.;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05232019_Stellungnahme_DeutscheKinderhilfe_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Deutscher Anwaltverein;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05312019_Stellungnahme_DAV_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Deutsche Strafverteidiger e.V.;31. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05312019_Stellungnahme_Dt.Strafverteidiger_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Deutscher Juristinnenbund e.V.;29. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05292019_Stellungnahme_djb_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Bundeskoordinierung spezialisierter Fachberatung gegen sexualisierte Gewalt in Kindheit und Jugend (BKSF);29. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05292019_Stellungnahme_BKSF_RefE_Cybergrooming.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Freiwillige Selbstkontrolle Multimedia-Diensteanbieter;29. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05292019_Stellungnahme_FSM_RefE_Cybergrooming.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Deutsche Akademie für Kinder- und Jugendmedizin e.V.;27. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05272019_Stellungnahme_DAKJ_RefE_Cybergrooming.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung des Strafgesetzbuches – Versuchsstrafbarkeit des Cybergroomings;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Cybergrooming.html;Kriminologische Zentralstelle;24. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/05242019_Stellungnahme_KrimZ_RefE_Cybergrooming.pdf?__blob=publicationFile&v=2
Gesetz zur Reform des Vormundschaftsrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Reform_Vormundschaftsrecht.html;BGT Betreungsgerichtstag e.V;20. Mai 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/052419_Stellungnahme_BGT_2-Diskussionsteilentwurf_Vormundschaftsrecht.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Marburger Bund Bundesverband;11. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03112019_Stellungnahme_MarburgerBund_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Diakonie Deutschland;05. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03052019_Stellungnahme_DiakonieDeutschland_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Deutscher Familiengerichtstag e.V.;04. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03042019_Stellungnahme_DFGT_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;BGT Betreungsgerichtstag e.V.;03. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03032019_Stellungnahme_BGT_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;DBH - Fachverband für Soziale Arbeit, Strafrecht und Kriminalpolitik;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_DBH_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Landesverband Psychiatrie-Erfahrender NRW;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_LPE_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Bundesarbeitsgemeinschaft Selbsthilfe von Menschen mit Behinderung, chronischer Erkrankung und ihren Angehörigen e. V.;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_BAG-Selbsthilfe_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Deutscher Richterbund;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_DRB_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Bundesarbeitsgemeinschaft Psychiatrie-Erfahrener;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_BAG_Psychatrie-Erfahrender_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Bund der Strafvollzugsbediensteten Deutschland e. V.;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_BSBD_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Deutscher Landkreistag;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_DLKT_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;BAG Landesjugendämter;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_BAG_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;AKTION PSYCHISCH KRANKE - Vereinigung zur Reform der Versorgung psychisch Kranker e.V.;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_Aktion_Psychisch_Kranke_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Amtsrichterverband;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_ARV_Fixierungen.pdf?__blob=publicationFile&v=2
Gesetz zur Stärkung der Rechte von Betroffenen bei Fixierungen im Rahmen von Freiheitsentziehungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Fixierungen_Freiheitsenziehung.html;Neue Richtervereinigung e.V.;01. Mrz 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/03012019_Stellungnahme_NRV_Fixierungen.pdf?__blob=publicationFile&v=1
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Bundesverbandes für Inkasso und Forderungsmanagement e.V. (BfIF);19. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02192019_Stellungnahme_BFI&F_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Zentrum für Schlichtung e.V.;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_Zentrum-Schlichtung_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Zentrum für Europäischen Verbraucherschutz;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_ZEV_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Verbraucherzentrale Bundesverband;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_vzbv_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Verband unabhängiger Vermögensverwalter Deutschland e.V.;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_VUV_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Verband der Privaten Krankenversicherung;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_PKV_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Schlichtungsstelle Energie;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_Schlichtungsstelle-Energie_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Bundesverband Mediation e.V.;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_Bundesverband-Mediation_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2
Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;Bundesverband Deutscher Patentanwälte e. V. (BDPA);14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_BDPA_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=3
